Bucket 1: 800 requests
Bucket 2: 800 requests
======================================================================
GRID SEARCH
======================================================================

--- Config: b1_shapes=4, b2_shapes=2, gen_range=3, batch_size=10 ---
  B1: cost=3.2321e+11, pad_ratio=0.0504, p95_lat=2.0773e+06ms, seq_timecost=2.4770e+08ms
  B2: cost=4.8101e+10, pad_ratio=0.1351, p95_lat=1.9534e+05ms, seq_timecost=2.8019e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=3, batch_size=20 ---
  B1: cost=3.2323e+11, pad_ratio=0.0508, p95_lat=2.0773e+06ms, seq_timecost=2.4691e+08ms
  B2: cost=4.8548e+10, pad_ratio=0.1360, p95_lat=1.9534e+05ms, seq_timecost=2.7673e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=3, batch_size=30 ---
  B1: cost=3.2345e+11, pad_ratio=0.0510, p95_lat=2.0773e+06ms, seq_timecost=2.4672e+08ms
  B2: cost=4.8598e+10, pad_ratio=0.1359, p95_lat=1.9534e+05ms, seq_timecost=2.7594e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=3, batch_size=50 ---
  B1: cost=3.2343e+11, pad_ratio=0.0510, p95_lat=2.0773e+06ms, seq_timecost=2.4673e+08ms
  B2: cost=4.8972e+10, pad_ratio=0.1365, p95_lat=1.9534e+05ms, seq_timecost=2.7510e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=5, batch_size=10 ---
  B1: cost=3.2845e+11, pad_ratio=0.0513, p95_lat=2.0434e+06ms, seq_timecost=2.3131e+08ms
  B2: cost=4.8354e+10, pad_ratio=0.1360, p95_lat=2.0878e+05ms, seq_timecost=2.6451e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=5, batch_size=20 ---
  B1: cost=3.3113e+11, pad_ratio=0.0518, p95_lat=2.0434e+06ms, seq_timecost=2.3044e+08ms
  B2: cost=4.9493e+10, pad_ratio=0.1372, p95_lat=2.0878e+05ms, seq_timecost=2.6276e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=5, batch_size=30 ---
  B1: cost=3.3129e+11, pad_ratio=0.0522, p95_lat=2.0434e+06ms, seq_timecost=2.3019e+08ms
  B2: cost=4.9321e+10, pad_ratio=0.1378, p95_lat=2.0878e+05ms, seq_timecost=2.5962e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=5, batch_size=50 ---
  B1: cost=3.3136e+11, pad_ratio=0.0524, p95_lat=2.0434e+06ms, seq_timecost=2.3011e+08ms
  B2: cost=4.9816e+10, pad_ratio=0.1388, p95_lat=2.0878e+05ms, seq_timecost=2.5850e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=8, batch_size=10 ---
  B1: cost=3.4105e+11, pad_ratio=0.0522, p95_lat=2.1112e+06ms, seq_timecost=2.0703e+08ms
  B2: cost=4.9763e+10, pad_ratio=0.1372, p95_lat=2.0921e+05ms, seq_timecost=2.4500e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=8, batch_size=20 ---
  B1: cost=3.4467e+11, pad_ratio=0.0530, p95_lat=2.1112e+06ms, seq_timecost=2.0538e+08ms
  B2: cost=5.0682e+10, pad_ratio=0.1389, p95_lat=2.0921e+05ms, seq_timecost=2.3955e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=8, batch_size=30 ---
  B1: cost=3.4522e+11, pad_ratio=0.0536, p95_lat=2.1112e+06ms, seq_timecost=2.0515e+08ms
  B2: cost=5.0847e+10, pad_ratio=0.1400, p95_lat=2.0921e+05ms, seq_timecost=2.3764e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=8, batch_size=50 ---
  B1: cost=3.4553e+11, pad_ratio=0.0543, p95_lat=2.1112e+06ms, seq_timecost=2.0495e+08ms
  B2: cost=5.1422e+10, pad_ratio=0.1419, p95_lat=2.0921e+05ms, seq_timecost=2.3659e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=12, batch_size=10 ---
  B1: cost=3.4557e+11, pad_ratio=0.0534, p95_lat=2.1284e+06ms, seq_timecost=1.8359e+08ms
  B2: cost=5.0258e+10, pad_ratio=0.1388, p95_lat=2.4961e+05ms, seq_timecost=2.2968e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=12, batch_size=20 ---
  B1: cost=3.5197e+11, pad_ratio=0.0548, p95_lat=2.1284e+06ms, seq_timecost=1.8052e+08ms
  B2: cost=5.1610e+10, pad_ratio=0.1414, p95_lat=2.4961e+05ms, seq_timecost=2.2111e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=12, batch_size=30 ---
  B1: cost=3.5526e+11, pad_ratio=0.0557, p95_lat=2.1284e+06ms, seq_timecost=1.7998e+08ms
  B2: cost=5.1975e+10, pad_ratio=0.1431, p95_lat=2.4961e+05ms, seq_timecost=2.1939e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=12, batch_size=50 ---
  B1: cost=3.5567e+11, pad_ratio=0.0566, p95_lat=2.1284e+06ms, seq_timecost=1.7979e+08ms
  B2: cost=5.2664e+10, pad_ratio=0.1453, p95_lat=2.4961e+05ms, seq_timecost=2.1858e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=20, batch_size=10 ---
  B1: cost=3.5584e+11, pad_ratio=0.0544, p95_lat=2.3441e+06ms, seq_timecost=1.6147e+08ms
  B2: cost=5.1117e+10, pad_ratio=0.1407, p95_lat=2.4961e+05ms, seq_timecost=2.1004e+07ms

--- Config: b1_shapes=4, b2_shapes=2, gen_range=20, batch_size=20 ---
  B1: cost=3.6840e+11, pad_ratio=0.0571, p95_lat=2.3441e+06ms, seq_timecost=1.5725e+08ms
  B2: cost=5.3631e+10, pad_ratio=0.1442, p95_lat=2.7567e+05ms, seq_timecost=2.0726e+07ms

