trial_id,run_label,suite_id,arm_id,task_id,task_attempt,run_trial_ordinal,raw_reward_present,raw_reward,raw_outcome,execution_validity,activity_subtype,policy_disposition,failure_subtype,termination_subtype,exception_trusted_markers,unclassified_exception,exception_after_substantive_activity,result_reward_present,result_reward_value,result_exception_present,result_exception_type,result_termination_reason,result_status,database_result_consistency,telemetry_status,canonical_completeness,r2_indexed_completeness,r2_read_availability,analyzed_artifact_integrity_status,size_metadata_status,router_observability,classification_confidence,evidence_complete,manual_review_required,manual_review_priority,analyzer_manual_review_priority,evidence_reasons,supporting_artifact_ids,analyzer_version,cost_usd,runtime_seconds,exception_type,database_exception_summary,database_exception_summary_present,database_exception_summary_trusted_markers,bytes_read,oversized_artifacts,unavailable_artifacts,review_reasons,review_strata,trial_link
20c82fa9-1a3b-450f-9535-b59b32e4120c,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,terminal-bench-2.0:build-cython-ext,1,1,True,1,success,substantive,substantive_agent_activity,none_detected,none,none,[],False,False,True,1,False,,,,consistent,consistent,8/8,8/8,available,verified,consistent,unknown,high,True,True,medium,low,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 7"",""Tool calls: 52"",""Workspace-changing calls: 12"",""Thinking event metadata: 44 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 2349014"",""Transcript total input tokens: 2349014"",""Transcript output tokens: 34023"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""4a2e7588-f68d-4d50-ba7a-9f6ac9952798"",""5c91b8f2-499f-4536-86d8-29ee8e78e627"",""d9ed1ad7-b3d5-4f8e-b264-b3ad5d60cb84"",""f70bcf9c-44cc-473f-98d1-543ffb50dd86"",""33b56049-f657-4148-ab44-b5cea2d9e113"",""f57ded40-8405-403b-8725-be5e0845f9bf""]",artifact-evidence-v1.3.2,2.30154075,785.05011,,,False,[],979661,0,0,headline_task_disagreement,task_disagreement,/trials/20c82fa9-1a3b-450f-9535-b59b32e4120c
e712ed97-2240-4ba8-b2f2-eb07d2a806d6,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,terminal-bench-2.0:build-cython-ext,2,2,True,1,success,substantive,substantive_agent_activity,none_detected,none,none,[],False,False,True,1,False,,,,consistent,consistent,8/8,8/8,available,verified,consistent,unknown,high,True,True,medium,low,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 11"",""Tool calls: 57"",""Workspace-changing calls: 11"",""Thinking event metadata: 41 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 2230065"",""Transcript total input tokens: 2230065"",""Transcript output tokens: 24339"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""ad578add-a90b-4b3d-b572-1e06cd0cffab"",""acbd95d8-1832-4ec4-9394-31d546acb355"",""6a7ba554-bb80-4251-ad38-7c76a55849a8"",""77467d2b-23a2-4971-a4a8-c37b1e5bac1a"",""53c365e2-f70c-4c47-9b1e-3948a2568f6e"",""06e09c8b-8d30-4892-a8ae-1448584b8af1""]",artifact-evidence-v1.3.2,1.98782425,661.111334,,,False,[],961397,0,0,headline_task_disagreement,task_disagreement,/trials/e712ed97-2240-4ba8-b2f2-eb07d2a806d6
f9c10277-8de4-422d-908e-b78e043f8755,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,terminal-bench-2.0:build-cython-ext,3,3,True,1,success,substantive,substantive_agent_activity,none_detected,none,none,[],False,False,True,1,False,,,,consistent,consistent,8/8,8/8,available,verified,consistent,unknown,high,True,True,medium,low,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 19"",""Tool calls: 64"",""Workspace-changing calls: 14"",""Thinking event metadata: 48 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 3112875"",""Transcript total input tokens: 3112875"",""Transcript output tokens: 35157"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""12dfd85c-fe87-4134-a406-d8822e6133b7"",""d23f49e0-6cbd-4fa7-9014-c7636ef757ef"",""2d2a206f-1b0d-467b-be1a-716c76759b5e"",""dc88a60c-873e-48fb-94d3-59b21e321c05"",""300225ab-0b68-4d49-8706-52ed3c65335d"",""4756088c-e4cb-44d6-965e-7cb2ec504a53""]",artifact-evidence-v1.3.2,2.7402205,887.496222,,,False,[],1173489,0,0,headline_task_disagreement,task_disagreement,/trials/f9c10277-8de4-422d-908e-b78e043f8755
da7e7687-4b09-449e-b7b3-a2380a23798b,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,terminal-bench-2.0:cancel-async-tasks,1,4,True,1,success,substantive,substantive_agent_activity,none_detected,none,none,[],False,False,True,1,False,,,,consistent,consistent,8/8,8/8,available,verified,consistent,unknown,high,True,True,medium,low,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 2"",""Tool calls: 7"",""Workspace-changing calls: 4"",""Thinking event metadata: 6 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 236609"",""Transcript total input tokens: 236609"",""Transcript output tokens: 4266"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""9a1adaed-0aca-4a99-be71-693f00dd15ff"",""23a9f21f-565b-48d1-87ab-11f45f1d4d7a"",""8b93f228-528a-4068-83c7-ce6935f37399"",""80ab3e8e-e03a-4c1b-ab5d-3a2c6e1d1d2f"",""7619bfbd-90b7-4dd6-aa5e-55b53afe0bba"",""d44a90d8-a951-435d-97b4-0e3a6e2e1b70""]",artifact-evidence-v1.3.2,0.27603425,149.737279,,,False,[],75888,0,0,headline_task_disagreement,task_disagreement,/trials/da7e7687-4b09-449e-b7b3-a2380a23798b
3ce99011-5b24-4467-aabf-f22d945bcb75,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,terminal-bench-2.0:cancel-async-tasks,2,5,True,1,success,substantive,substantive_agent_activity,none_detected,none,none,[],False,False,True,1,False,,,,consistent,consistent,8/8,8/8,available,verified,consistent,unknown,high,True,True,medium,low,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 2"",""Tool calls: 5"",""Workspace-changing calls: 3"",""Thinking event metadata: 4 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 177397"",""Transcript total input tokens: 177397"",""Transcript output tokens: 5126"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""f064581c-6f46-44c9-9760-b197630a9e97"",""8a79ffc7-d9a0-4593-afa9-0f4c344d7259"",""128088a0-53d7-4f39-a390-4f5c2c15f56f"",""da61caa1-b3d2-480f-af63-81e01273355b"",""67b8b0d2-68b0-4917-b95f-6e68b11cacc5"",""b6a46ea1-00be-4f3e-aab8-42624cfb928c""]",artifact-evidence-v1.3.2,0.2672375,152.158043,,,False,[],81425,0,0,headline_task_disagreement,task_disagreement,/trials/3ce99011-5b24-4467-aabf-f22d945bcb75
e7f68ccf-a816-4856-b887-9172b3c477c9,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,terminal-bench-2.0:cancel-async-tasks,3,6,True,1,success,substantive,substantive_agent_activity,none_detected,none,none,[],False,False,True,1,False,,,,consistent,consistent,8/8,8/8,available,verified,consistent,unknown,high,True,True,medium,low,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 1"",""Tool calls: 5"",""Workspace-changing calls: 4"",""Thinking event metadata: 6 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 176216"",""Transcript total input tokens: 176216"",""Transcript output tokens: 4478"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""f04a66a3-964c-427d-bbea-043113eca2cf"",""704cdf7a-7ea8-41eb-b2a0-31d772e1bfc2"",""efe979e5-39ac-4e5d-ac92-073f256972ec"",""6ffeec45-7056-4080-85e2-4112dab27249"",""b06830d1-ca46-495e-b5e6-9755d813b72c"",""4b22e45e-4112-405f-ae48-553431fc33c4""]",artifact-evidence-v1.3.2,0.24849775,140.912897,,,False,[],76395,0,0,headline_task_disagreement,task_disagreement,/trials/e7f68ccf-a816-4856-b887-9172b3c477c9
84bed545-ad08-4e84-b596-faa88791b46b,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,terminal-bench-2.0:configure-git-webserver,1,7,True,0,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,[],False,False,True,0,False,,,,consistent,consistent,8/8,8/8,available,verified,consistent,unknown,high,True,True,medium,low,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 4"",""Tool calls: 12"",""Workspace-changing calls: 10"",""Thinking event metadata: 13 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 392733"",""Transcript total input tokens: 392733"",""Transcript output tokens: 4612"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""dd43b5ca-d674-4d8a-aac6-c7d23fa389e6"",""fd64c348-1bd2-4e04-81ce-7be44ca37e47"",""ac73a935-9394-4db3-a692-7c67cd078dd9"",""5551b388-02b4-47ed-9811-9609baa6d790"",""05f23923-c8f6-4029-aa2a-c7025fcb792e"",""d783747d-2e0e-4894-a2b0-6f92cfe7c1ee""]",artifact-evidence-v1.3.2,0.3603185,212.327231,,,False,[],122736,0,0,headline_task_disagreement,task_disagreement,/trials/84bed545-ad08-4e84-b596-faa88791b46b
d07e6668-251a-4c5b-8188-06b5bccccfd8,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,terminal-bench-2.0:configure-git-webserver,2,8,True,0,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,[],False,False,True,0,False,,,,consistent,consistent,8/8,8/8,available,verified,consistent,unknown,high,True,True,medium,low,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 6"",""Tool calls: 13"",""Workspace-changing calls: 8"",""Thinking event metadata: 12 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 426415"",""Transcript total input tokens: 426415"",""Transcript output tokens: 4780"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""044df1a6-adb7-4c22-9f6c-7b0434dc2a35"",""e731ada1-b8a6-4c76-80b8-d98ae8a7e415"",""16a6ee59-c101-43bd-870b-892cec669376"",""64bae7b9-89e0-4333-8e46-078a312f78ed"",""dbe77a8e-4d3c-4897-aef1-adea659a672f"",""866ab75c-9e75-4a33-b3a2-2301fb23fdc9""]",artifact-evidence-v1.3.2,0.3845655,229.977386,,,False,[],128616,0,0,headline_task_disagreement,task_disagreement,/trials/d07e6668-251a-4c5b-8188-06b5bccccfd8
ba8d48a9-7ee0-4218-a14d-84eaee43d017,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,terminal-bench-2.0:configure-git-webserver,3,9,True,0,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,[],False,False,True,0,False,,,,consistent,consistent,8/8,8/8,available,verified,consistent,unknown,high,True,True,medium,low,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 8"",""Tool calls: 14"",""Workspace-changing calls: 10"",""Thinking event metadata: 12 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 455109"",""Transcript total input tokens: 455109"",""Transcript output tokens: 4902"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""0067a004-d3c3-46bd-a279-c7a4d6f51491"",""14a3bbb0-d335-4696-8606-85591e12f25d"",""dfd5892b-5e88-4df1-98d3-1e059ff6e7a8"",""b60e4ddc-acc0-4da5-830b-b918e55edca2"",""60549695-0032-4628-aab9-64f82966a9f8"",""6a4e6776-4cc2-4389-9224-f790d3cf3ccf""]",artifact-evidence-v1.3.2,0.4004245,221.228887,,,False,[],128476,0,0,headline_task_disagreement,task_disagreement,/trials/ba8d48a9-7ee0-4218-a14d-84eaee43d017
75e54f81-49c2-4792-bdfe-0332329000c2,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,terminal-bench-2.0:custom-memory-heap-crash,1,10,True,0,failure,policy_blocked,substantive_agent_activity,provider_policy_refusal,policy_refusal,provider_policy_refusal,[],False,True,True,0,True,NonZeroAgentExitCodeError,,,consistent,nonzero_mismatch,9/9,9/9,available,verified,consistent,unknown,high,True,True,high,medium,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: none"",""Termination / exception subtype: provider_policy_refusal"",""Visible assistant events: 0"",""Tool calls: 2"",""Workspace-changing calls: 0"",""Thinking event metadata: 1 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 28826"",""Transcript total input tokens: 60369"",""Transcript output tokens: 173"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: yes (cyber)"",""Verifier failure subtype: policy_refusal""]","[""9938ee21-9e70-449a-93da-8cd0da00da62"",""a87c526c-0012-407e-92f9-263b4b6102e1"",""fc3b8cb1-a36e-4483-80d0-14b10acbe03b"",""6c57d9ef-2190-4650-a8bd-a58a6d13c1e4"",""ab16b1d3-2d9f-42da-adc4-c56f3464ceaf"",""3593ad6d-71c6-479e-acc2-32b6ae3ebd75"",""982b97cc-2117-45ec-99a6-de63abd5dfe7""]",artifact-evidence-v1.3.2,0.080343,131.084274,exception_info,,False,[],90218,0,0,headline_task_disagreement;policy_refusal;telemetry_mismatch_or_incomplete,correctness_anomaly;telemetry_or_integrity;task_disagreement,/trials/75e54f81-49c2-4792-bdfe-0332329000c2
