run_id,run_label,suite_id,arm_id,status,trial_count,task_count,required_task_count,full_suite_complete,valid,selected,invalid_reason,invalidated_at,started_at,finished_at
e9a50b6a-57f5-443e-a2bd-d07bfc0c93e2,router-anthropic-fable-5/2026-07-11__12-15-55,phase3-full-20,router-anthropic-fable-5,errors,60,20,20,True,True,True,,,2026-07-11T12:15:55.961106+00:00,2026-07-11T19:04:51.527874+00:00
6e018d3b-ec1c-4361-be46-ebee42c6a7b9,router-anthropic-haiku-sanitized/2026-07-02__02-01-16,phase3-full-20,router-anthropic-haiku-sanitized,errors,60,20,20,True,False,False,Runtime service/API path failure; Claude Code reported ConnectionRefused via sanitizer/LiteLLM path; zero API tokens/cost across all trials,2026-07-03T04:29:38.219198+00:00,2026-07-02T02:01:16.786027+00:00,2026-07-02T21:54:46.554101+00:00
4158701f-bd32-49a6-b52c-7d80490dd387,router-anthropic-haiku-sanitized/2026-07-12__03-25-22,phase3-full-20,router-anthropic-haiku-sanitized,completed,60,20,20,True,True,True,,,2026-07-12T03:25:23.090397+00:00,2026-07-12T07:57:54.347232+00:00
3ae9d432-2223-43f1-9874-0b0aaa8a9915,router-anthropic-opus/2026-06-28__13-28-56,phase3-full-20,router-anthropic-opus,errors,60,20,20,True,False,False,Anthropic workspace API usage limit until 2026-07-01 00:00 UTC,2026-07-03T04:29:38.219198+00:00,2026-06-28T13:28:57.517979+00:00,2026-06-28T16:39:16.069195+00:00
c414cbbb-a12f-4171-9a0e-6ca34835890c,router-anthropic-opus/2026-07-01__12-15-57,phase3-full-20,router-anthropic-opus,errors,60,20,20,True,True,True,,,2026-07-01T12:15:58.637716+00:00,2026-07-01T21:27:38.467057+00:00
9a136b6a-3057-45f3-a278-c013f5922c09,router-anthropic-sonnet/2026-06-27__01-30-11,phase3-full-20,router-anthropic-sonnet,errors,60,20,20,True,True,True,,,2026-06-27T01:30:12.797462+00:00,2026-06-27T10:26:32.067192+00:00
e07e7806-234f-475e-a88e-3de0a0d031dc,router-deepseek-flash/2026-06-28__13-28-50,phase3-full-20,router-deepseek-flash,errors,60,20,20,True,True,True,,,2026-06-28T13:28:51.929271+00:00,2026-06-28T22:15:14.664426+00:00
1d362c29-c0c3-4320-9fad-49bb74b9ae6f,router-deepseek-pro/2026-06-19__13-47-59,phase3-full-20,router-deepseek-pro,errors,60,20,20,True,True,True,,,2026-06-19T13:47:59.869350+00:00,2026-06-19T22:15:04.608279+00:00
320c090a-dbf0-4ed4-95b7-f774b9ce5893,router-gemini-3.1-pro/2026-06-30__01-23-54,phase3-full-20,router-gemini-3.1-pro,errors,60,20,20,True,False,False,Gemini project monthly spending cap exceeded; 429 RESOURCE_EXHAUSTED provider-limit failures,2026-07-03T04:29:38.219198+00:00,2026-06-30T01:23:54.815823+00:00,2026-06-30T09:34:06.159689+00:00
f5a41f70-cdb9-4329-851a-a55455cd2e86,router-gemini-3.1-pro/2026-06-30__14-57-05,phase3-full-20,router-gemini-3.1-pro,errors,60,20,20,True,True,True,,,2026-06-30T14:57:06.616014+00:00,2026-07-01T04:29:48.082922+00:00
24b97c83-c682-4ec8-97f4-f44bbc59e3d6,router-gemini-flash/2026-06-27__01-30-20,phase3-full-20,router-gemini-flash,errors,60,20,20,True,True,True,,,2026-06-27T01:30:21.215179+00:00,2026-06-27T20:18:07.118553+00:00
d6e50dea-a158-4a8a-ba45-b64b25603f3d,router-glm-5.1/2026-06-28__13-28-50,phase3-full-20,router-glm-5.1,errors,60,20,20,True,True,True,,,2026-06-28T13:28:52.027912+00:00,2026-06-28T23:57:26.861683+00:00
fa485617-9602-41d0-be1a-5a19a4f5d4c1,router-glm-5.2/2026-06-19__13-47-51,phase3-full-20,router-glm-5.2,errors,60,20,20,True,True,True,,,2026-06-19T13:47:52.024511+00:00,2026-06-20T04:43:01.976959+00:00
20ffc90f-f03d-4d22-8bfb-83713f1e6431,router-gpt-5.4/2026-06-19__13-47-51,phase3-full-20,router-gpt-5.4,errors,60,20,20,True,True,True,,,2026-06-19T13:47:52.043508+00:00,2026-06-19T22:25:02.791159+00:00
889c647d-af95-47c9-b6fc-fe8ac8b50781,router-gpt-5.5/2026-06-27__01-30-18,phase3-full-20,router-gpt-5.5,errors,60,20,20,True,True,True,,,2026-06-27T01:30:19.124203+00:00,2026-06-27T09:09:34.056447+00:00
feb3dc69-d8cf-4158-8a9d-ee646cad8ccb,router-grok-build-0.1/2026-06-28__13-28-55,phase3-full-20,router-grok-build-0.1,errors,60,20,20,True,True,True,,,2026-06-28T13:28:56.246813+00:00,2026-06-28T23:03:49.001983+00:00
0666a446-bfc6-4da4-860d-ed36f64d5f08,router-kimi-k2.6/2026-06-28__13-28-55,phase3-full-20,router-kimi-k2.6,errors,60,20,20,True,True,True,,,2026-06-28T13:28:56.041267+00:00,2026-06-28T23:39:17.120980+00:00
25348296-54a6-40c3-96cd-87e9dc2abeae,router-kimi-k3/2026-07-22__17-51-05,phase3-full-20,router-kimi-k3,errors,60,20,20,True,True,True,,,2026-07-22T17:51:06.849757+00:00,2026-07-22T20:46:14.577232+00:00
f21151fc-7709-48d3-a75c-711439b1337e,router-qwen-3.7-plus/2026-06-29__03-16-06,phase3-full-20,router-qwen-3.7-plus,errors,60,20,20,True,True,True,,,2026-06-29T03:16:08.114193+00:00,2026-06-29T15:32:53.046746+00:00
