task_id	arm_count	trial_count	success_count	exception_count	suspect_noop_count	normal_failure_count	review_priority	qualitative_summary
terminal-bench-2.0:build-cython-ext	1	3	2	1	0	0	medium	""
terminal-bench-2.0:cancel-async-tasks	1	3	0	1	0	2	medium	""
terminal-bench-2.0:configure-git-webserver	1	3	1	1	0	1	medium	""
terminal-bench-2.0:custom-memory-heap-crash	1	3	1	2	0	0	medium	""
terminal-bench-2.0:fix-code-vulnerability	1	3	2	1	0	0	medium	""
terminal-bench-2.0:git-leak-recovery	1	3	2	1	0	0	medium	""
terminal-bench-2.0:llm-inference-batching-scheduler	1	3	2	1	0	0	medium	""
terminal-bench-2.0:model-extraction-relu-logits	1	3	0	3	0	0	medium	""
terminal-bench-2.0:modernize-scientific-stack	1	3	3	0	0	0	low	""
terminal-bench-2.0:mteb-retrieve	1	3	0	0	0	3	medium	""
terminal-bench-2.0:multi-source-data-merger	1	3	2	1	0	0	medium	""
terminal-bench-2.0:nginx-request-logging	1	3	2	1	0	0	medium	""
terminal-bench-2.0:openssl-selfsigned-cert	1	3	2	1	0	0	medium	""
terminal-bench-2.0:password-recovery	1	3	2	0	0	1	low	""
terminal-bench-2.0:polyglot-rust-c	1	3	0	2	0	1	medium	""
terminal-bench-2.0:portfolio-optimization	1	3	3	0	0	0	low	""
terminal-bench-2.0:query-optimize	1	3	1	1	0	1	medium	""
terminal-bench-2.0:schemelike-metacircular-eval	1	3	0	3	0	0	medium	""
terminal-bench-2.0:sqlite-db-truncate	1	3	2	1	0	0	medium	""
terminal-bench-2.0:torch-pipeline-parallelism	1	3	1	2	0	0	medium	""
