phase	row_index	arm_id	backend	backend_model	task_name	trial_name	success	outcome_bucket	exception_present	wall_clock_seconds	recorded_cost_usd	adjusted_cost_usd	known_accounting_gap_usd	cost_source	cost_confidence	input_tokens	cache_tokens	output_tokens	total_tokens
phase2	0	arm-anthropic-opus	anthropic	claude-opus-4-7	build-cython-ext	build-cython-ext__C54CYwX	True	clean_success	False	326.479725	1.6764099999999997	1.6764099999999997	0.0	recorded_effective_cost	high	2009111.0	1948345.0	12980.0	3970436.0
phase2	1	arm-anthropic-opus	anthropic	claude-opus-4-7	build-cython-ext	build-cython-ext__JtTGc5g	True	clean_success	False	408.384433	1.1330599999999997	1.1330599999999997	0.0	recorded_effective_cost	high	1224347.0	1175245.0	9544.0	2409136.0
phase2	2	arm-anthropic-opus	anthropic	claude-opus-4-7	build-cython-ext	build-cython-ext__oiLofjy	True	clean_success	False	516.053104	3.3608555000000004	3.3608555000000004	0.0	recorded_effective_cost	high	4987383.0	4912576.0	17486.0	9917445.0
phase2	3	arm-anthropic-opus	anthropic	claude-opus-4-7	cancel-async-tasks	cancel-async-tasks__H6PpXL4	False	normal_failure	False	185.545381	0.36303499999999994	0.36303499999999994	0.0	recorded_effective_cost	high	175620.0	160870.0	7617.0	344107.0
phase2	4	arm-anthropic-opus	anthropic	claude-opus-4-7	cancel-async-tasks	cancel-async-tasks__Xdsf7LQ	True	clean_success	False	139.009448	0.34376599999999996	0.34376599999999996	0.0	recorded_effective_cost	high	272222.0	259592.0	5402.0	537216.0
phase2	5	arm-anthropic-opus	anthropic	claude-opus-4-7	cancel-async-tasks	cancel-async-tasks__o7L5JTB	False	normal_failure	False	137.590021	0.31086775	0.31086775	0.0	recorded_effective_cost	high	217993.0	205478.0	5197.0	428668.0
phase2	6	arm-anthropic-opus	anthropic	claude-opus-4-7	configure-git-webserver	configure-git-webserver__aSpGPZq	True	clean_success	False	135.744662	0.325197	0.325197	0.0	recorded_effective_cost	high	363220.0	351814.0	3121.0	718155.0
phase2	7	arm-anthropic-opus	anthropic	claude-opus-4-7	configure-git-webserver	configure-git-webserver__k942iHi	True	clean_success	False	162.376877	0.25255075000000005	0.25255075000000005	0.0	recorded_effective_cost	high	252051.0	241674.0	2675.0	496400.0
phase2	8	arm-anthropic-opus	anthropic	claude-opus-4-7	configure-git-webserver	configure-git-webserver__w9TMwkp	True	clean_success	False	228.847305	0.44183025	0.44183025	0.0	recorded_effective_cost	high	424274.0	407958.0	5436.0	837668.0
phase2	9	arm-anthropic-opus	anthropic	claude-opus-4-7	custom-memory-heap-crash	custom-memory-heap-crash__Avo6SVN	True	clean_success	False	289.768901	0.8859414999999999	0.8859414999999999	0.0	recorded_effective_cost	high	852638.0	817928.0	10403.0	1680969.0
phase2	10	arm-anthropic-opus	anthropic	claude-opus-4-7	custom-memory-heap-crash	custom-memory-heap-crash__FdnxLVd	True	clean_success	False	537.647726	1.734958	1.734958	0.0	recorded_effective_cost	high	1935085.0	1878716.0	17734.0	3831535.0
