task_id	arm_count	trial_count	success_count	exception_count	suspect_noop_count	normal_failure_count	review_priority	qualitative_summary
terminal-bench-2.0:build-cython-ext	13	39	24	8	0	8	high	""
terminal-bench-2.0:cancel-async-tasks	13	39	16	5	0	19	high	""
terminal-bench-2.0:configure-git-webserver	13	39	20	7	0	13	high	""
terminal-bench-2.0:custom-memory-heap-crash	13	39	34	6	0	0	high	""
terminal-bench-2.0:fix-code-vulnerability	13	39	34	5	0	1	high	""
terminal-bench-2.0:git-leak-recovery	13	39	34	3	0	2	medium	""
terminal-bench-2.0:llm-inference-batching-scheduler	13	39	28	12	0	0	high	""
terminal-bench-2.0:model-extraction-relu-logits	13	39	1	20	2	16	high	""
terminal-bench-2.0:modernize-scientific-stack	13	39	37	1	0	2	medium	""
terminal-bench-2.0:mteb-retrieve	13	39	5	1	1	32	medium	""
terminal-bench-2.0:multi-source-data-merger	13	39	37	3	0	0	medium	""
terminal-bench-2.0:nginx-request-logging	13	39	36	4	0	0	medium	""
terminal-bench-2.0:openssl-selfsigned-cert	13	39	26	5	0	8	high	""
terminal-bench-2.0:password-recovery	13	39	21	14	0	4	high	""
terminal-bench-2.0:polyglot-rust-c	13	39	1	22	1	15	high	""
terminal-bench-2.0:portfolio-optimization	13	39	34	1	0	4	medium	""
terminal-bench-2.0:query-optimize	13	39	6	31	0	4	high	""
terminal-bench-2.0:schemelike-metacircular-eval	13	39	15	24	0	2	high	""
terminal-bench-2.0:sqlite-db-truncate	13	39	35	4	0	0	medium	""
terminal-bench-2.0:torch-pipeline-parallelism	13	39	7	18	0	15	high	""
