suite_id	arm_id	run_label	task_id	attempt_index	trial_id	exception_artifact_id	trial_dashboard_path	exception_artifact_dashboard_path	exception_type	missing_cost	validity_status	invalid_reason	reward	runtime_seconds	r2_uri	size_bytes
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:custom-memory-heap-crash	10	75e54f81-49c2-4792-bdfe-0332329000c2	fc3b8cb1-a36e-4483-80d0-14b10acbe03b	/trials/75e54f81-49c2-4792-bdfe-0332329000c2	/artifacts/fc3b8cb1-a36e-4483-80d0-14b10acbe03b	exception_info	false	valid		0	131.084274	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/custom-memory-heap-crash__a4cDxnV/exception.txt	4146
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:custom-memory-heap-crash	11	0d4ab925-6456-404a-b9f3-d504711c7682	71c4f78c-0e0e-43b1-bea9-eea5fb2ab829	/trials/0d4ab925-6456-404a-b9f3-d504711c7682	/artifacts/71c4f78c-0e0e-43b1-bea9-eea5fb2ab829	exception_info	false	valid		0	149.321263	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/custom-memory-heap-crash__cS6k9Cm/exception.txt	4146
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:custom-memory-heap-crash	12	aa8dbfd6-e275-4519-8ec8-fded800fe3e0	4e114a54-0877-472e-b654-17bda3618b8b	/trials/aa8dbfd6-e275-4519-8ec8-fded800fe3e0	/artifacts/4e114a54-0877-472e-b654-17bda3618b8b	exception_info	false	valid		0	216.505972	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/custom-memory-heap-crash__tp3JJGC/exception.txt	4146
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:model-extraction-relu-logits	22	1f61aa49-b0f4-48ad-a439-dee5783c48ec	d63608ae-933b-40db-9f2b-7161a09032b8	/trials/1f61aa49-b0f4-48ad-a439-dee5783c48ec	/artifacts/d63608ae-933b-40db-9f2b-7161a09032b8	exception_info	false	valid		0	48.648066	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/model-extraction-relu-logits__BHRcaq3/exception.txt	3739
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:model-extraction-relu-logits	23	6e5a0c03-cdae-4733-bedb-a30294a065bd	56840f5d-bd72-4797-a0ce-1067b7909cc3	/trials/6e5a0c03-cdae-4733-bedb-a30294a065bd	/artifacts/56840f5d-bd72-4797-a0ce-1067b7909cc3	exception_info	false	valid		0	50.233155	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/model-extraction-relu-logits__ELL755H/exception.txt	3739
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:model-extraction-relu-logits	24	880aa3ea-2ede-4747-a249-63844569dbdd	1c60cb34-2c55-4757-9719-60247b82609e	/trials/880aa3ea-2ede-4747-a249-63844569dbdd	/artifacts/1c60cb34-2c55-4757-9719-60247b82609e	exception_info	false	valid		0	49.677925	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/model-extraction-relu-logits__Qf4mrE7/exception.txt	3739
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:password-recovery	40	f286e656-db4c-4d69-a773-c72f380b4c4c	3d81135e-b346-40c1-a0db-dee9bafb8d62	/trials/f286e656-db4c-4d69-a773-c72f380b4c4c	/artifacts/3d81135e-b346-40c1-a0db-dee9bafb8d62	exception_info	false	valid		0	51.33476	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/password-recovery__2UGVeWJ/exception.txt	3807
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:password-recovery	41	5dc2ab8d-aede-4369-a265-b813416e7c8f	bc0ff5fe-cb95-486c-8a70-6d5c1474445f	/trials/5dc2ab8d-aede-4369-a265-b813416e7c8f	/artifacts/bc0ff5fe-cb95-486c-8a70-6d5c1474445f	exception_info	false	valid		0	53.96185	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/password-recovery__2qUFwj2/exception.txt	3807
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:password-recovery	42	ab5bf72f-81d9-4a9f-947f-44e110624893	770e8a56-f4b8-4c0e-9eda-bdaa02539238	/trials/ab5bf72f-81d9-4a9f-947f-44e110624893	/artifacts/770e8a56-f4b8-4c0e-9eda-bdaa02539238	exception_info	false	valid		0	53.155777	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/password-recovery__8GtgZom/exception.txt	3807
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:schemelike-metacircular-eval	52	ee2e2089-1068-4ed1-94a1-e19a9cde66be	af09cdf4-1761-4ca7-9e4c-2cc7a1f4dccb	/trials/ee2e2089-1068-4ed1-94a1-e19a9cde66be	/artifacts/af09cdf4-1761-4ca7-9e4c-2cc7a1f4dccb	exception_info	true	valid		0	2446.221075	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/schemelike-metacircular-eval__Kh8ZQhy/exception.txt	4607
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:schemelike-metacircular-eval	53	9a3cdf6b-23c8-4dcb-b962-705a5eb08a1e	55d72db6-e195-4410-a13c-35ff03ca679b	/trials/9a3cdf6b-23c8-4dcb-b962-705a5eb08a1e	/artifacts/55d72db6-e195-4410-a13c-35ff03ca679b	exception_info	true	valid		1	2526.540705	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/schemelike-metacircular-eval__TaEB22j/exception.txt	4607
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:schemelike-metacircular-eval	54	c0333892-059c-47b6-bfdd-66acb22f6098	149ae022-c06b-407a-9f35-6537a5b4c0c2	/trials/c0333892-059c-47b6-bfdd-66acb22f6098	/artifacts/149ae022-c06b-407a-9f35-6537a5b4c0c2	exception_info	true	valid		1	2543.192967	r2://benchmarking/phase3/raw/router-anthropic-fable-5/2026-07-11__12-15-55/schemelike-metacircular-eval__UeVVgit/exception.txt	4607
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:llm-inference-batching-scheduler	20	a5273c02-4085-4c4d-9e21-b737314c8758	b5b2a3b3-70cc-4003-b1a0-1492576b82b8	/trials/a5273c02-4085-4c4d-9e21-b737314c8758	/artifacts/b5b2a3b3-70cc-4003-b1a0-1492576b82b8	exception_info	true	valid		0	1837.694835	r2://benchmarking/phase3/raw/router-anthropic-opus/2026-07-01__12-15-57/llm-inference-batching-scheduler__boBQuD9/exception.txt	4661
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:polyglot-rust-c	44	d95ad1e2-a5b8-4c3a-b7cf-47f03706aa34	918f5d13-e9a5-4b0d-b838-10bfa149d74e	/trials/d95ad1e2-a5b8-4c3a-b7cf-47f03706aa34	/artifacts/918f5d13-e9a5-4b0d-b838-10bfa149d74e	exception_info	true	valid		0	950.039573	r2://benchmarking/phase3/raw/router-anthropic-opus/2026-07-01__12-15-57/polyglot-rust-c__WDCxTUh/exception.txt	4660
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:polyglot-rust-c	45	86b56249-1b4c-4c2e-a44f-a206fe71041a	896bffb0-c415-4a60-a8a3-ddeefabe3355	/trials/86b56249-1b4c-4c2e-a44f-a206fe71041a	/artifacts/896bffb0-c415-4a60-a8a3-ddeefabe3355	exception_info	true	valid		0	949.095377	r2://benchmarking/phase3/raw/router-anthropic-opus/2026-07-01__12-15-57/polyglot-rust-c__YHqxwPf/exception.txt	4660
