path	exists	size_bytes
docs/reports/phase3/PHASE3_BENCHMARK_ANALYSIS_20260713.md	true	10257
docs/reports/phase3/PHASE3_BENCHMARK_ANALYSIS_20260713.pdf	true	199977
docs/reports/phase3/PHASE3_COST_COVERAGE_20260712.md	true	1870
docs/reports/phase3/PHASE3_CROSS_PHASE_COMPARISON_20260714.md	true	4087
docs/reports/phase3/PHASE3_CROSS_PHASE_TASK_AUDIT_20260714.md	true	1780
docs/reports/phase3/PHASE3_DATABRICKS_COMPARISON_20260713.md	true	8868
docs/reports/phase3/PHASE3_DATABRICKS_COMPARISON_20260713.pdf	true	124602
docs/reports/phase3/PHASE3_SPONSOR_SUMMARY_20260713.md	true	6159
docs/reports/phase3/PHASE3_SPONSOR_SUMMARY_20260713.pdf	true	180706
results/phase1/combined.csv	true	177822
results/phase2/combined.csv	true	343048
results/phase3/reporting/cross_phase_adjusted_comparison_20260714.tsv	true	8036
results/phase3/reporting/cross_phase_task_arm_audit_20260714.tsv	true	11284
results/phase3/reporting/cross_phase_task_audit_issues_20260714.tsv	true	26
results/phase3/reporting/cross_phase_task_membership_20260714.tsv	true	5855
results/phase3/reporting/phase3_adjusted_cost_frontier_20260713.html	true	4864512
results/phase3/reporting/phase3_adjusted_cost_frontier_20260713.png	true	177147
results/phase3/reporting/phase3_adjusted_cost_frontier_20260713.svg	true	6554
results/phase3/reporting/phase3_adjusted_cost_frontier_interactive_20260713.html	true	16333
results/phase3/reporting/phase3_arm_cost_coverage_20260712.tsv	true	7343
results/phase3/reporting/phase3_sponsor_summary_table_20260713.tsv	true	4817
results/phase3/reporting/phase3_token_outcome_breakdown_20260713.tsv	true	2618
results/phase3/reporting/phase3_trial_cost_coverage_20260712.tsv	true	268378
