suite_id	arm_id	run_label	task_id	attempt_index	trial_id	exception_artifact_id	exception_artifact_dashboard_path	exception_type	missing_cost	reward	runtime_seconds	runtime_band	primary_category	secondary_category	confidence	needs_manual_review	matched_signal	matched_pattern	evidence_artifact_type	evidence_artifact_id	evidence_source_rank	classification_reason	evidence_source_artifact_types	evidence_excerpt	recommended_next_step	notes
phase3-full-20	router-anthropic-sonnet	router-anthropic-sonnet/2026-06-27__01-30-11	terminal-bench-2.0:build-cython-ext	2	59cca28a-0e79-4751-9ca4-70b50464bd95	384d3877-b007-4854-bbe4-c076003a5ff1	http://127.0.0.1:3000/artifacts/384d3877-b007-4854-bbe4-c076003a5ff1	exception_info	true	0	53.287347	fast_exception_under_90s	nonzero_agent_exit	model_loop_or_stall	high	false	NonZeroAgentExitCodeError	\bNonZeroAgentExitCodeError\b	exception	384d3877-b007-4854-bbe4-c076003a5ff1	0	high confidence from direct signal `NonZeroAgentExitCodeError` in exception artifact	agent_transcript,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	"r/_work/cc-deepseek-benchmark/cc-deepseek-benchmark/.venv/lib/python3.13/site-packages/harbor/agents/installed/base.py"", line 329, in _exec raise NonZeroAgentExitCodeError( ...<3 lines>... ) harbor.agents.installed.base.NonZeroAgentExitCodeError: Command failed (exit 1): export PATH=""$HOME/.local..."	Inspect trial log and result artifact for the failing command and exit code.	runtime_band=fast_exception_under_90s; matched_rule=\bNonZeroAgentExitCodeError\b; secondary_rule=\bloop(?:ing)?\b
phase3-full-20	router-anthropic-sonnet	router-anthropic-sonnet/2026-06-27__01-30-11	terminal-bench-2.0:cancel-async-tasks	4	a5947f0d-a1be-41c4-a9d8-b6abca025459	a16d5c7b-78fa-4301-97e9-ecab7b2c14ab	http://127.0.0.1:3000/artifacts/a16d5c7b-78fa-4301-97e9-ecab7b2c14ab	exception_info	true	0	46.951873	fast_exception_under_90s	nonzero_agent_exit	model_loop_or_stall	high	false	NonZeroAgentExitCodeError	\bNonZeroAgentExitCodeError\b	exception	a16d5c7b-78fa-4301-97e9-ecab7b2c14ab	0	high confidence from direct signal `NonZeroAgentExitCodeError` in exception artifact	agent_transcript,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	"r/_work/cc-deepseek-benchmark/cc-deepseek-benchmark/.venv/lib/python3.13/site-packages/harbor/agents/installed/base.py"", line 329, in _exec raise NonZeroAgentExitCodeError( ...<3 lines>... ) harbor.agents.installed.base.NonZeroAgentExitCodeError: Command failed (exit 1): export PATH=""$HOME/.local..."	Inspect trial log and result artifact for the failing command and exit code.	runtime_band=fast_exception_under_90s; matched_rule=\bNonZeroAgentExitCodeError\b; secondary_rule=\bloop(?:ing)?\b
phase3-full-20	router-anthropic-sonnet	router-anthropic-sonnet/2026-06-27__01-30-11	terminal-bench-2.0:configure-git-webserver	9	f13d0edb-1527-4f80-88cb-f2159a4c52fb	5d15fbed-caba-4bbf-8a01-6e95b5eb3bff	http://127.0.0.1:3000/artifacts/5d15fbed-caba-4bbf-8a01-6e95b5eb3bff	exception_info	true	0	50.848638	fast_exception_under_90s	nonzero_agent_exit	model_loop_or_stall	high	false	NonZeroAgentExitCodeError	\bNonZeroAgentExitCodeError\b	exception	5d15fbed-caba-4bbf-8a01-6e95b5eb3bff	0	high confidence from direct signal `NonZeroAgentExitCodeError` in exception artifact	agent_transcript,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	"r/_work/cc-deepseek-benchmark/cc-deepseek-benchmark/.venv/lib/python3.13/site-packages/harbor/agents/installed/base.py"", line 329, in _exec raise NonZeroAgentExitCodeError( ...<3 lines>... ) harbor.agents.installed.base.NonZeroAgentExitCodeError: Command failed (exit 1): export PATH=""$HOME/.local..."	Inspect trial log and result artifact for the failing command and exit code.	runtime_band=fast_exception_under_90s; matched_rule=\bNonZeroAgentExitCodeError\b; secondary_rule=\bloop(?:ing)?\b
phase3-full-20	router-anthropic-sonnet	router-anthropic-sonnet/2026-06-27__01-30-11	terminal-bench-2.0:custom-memory-heap-crash	10	a85084ab-e5ac-4c72-97ab-585cb017898e	502d705e-be23-46d3-a984-d5fd072a4766	http://127.0.0.1:3000/artifacts/502d705e-be23-46d3-a984-d5fd072a4766	exception_info	true	0	1932.573769	long_exception_over_1200s	agent_timeout	model_loop_or_stall	high	false	AgentTimeoutError	\bAgentTimeoutError\b	exception	502d705e-be23-46d3-a984-d5fd072a4766	0	high confidence from direct signal `AgentTimeoutError` in exception artifact	agent_transcript,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	"er/_work/cc-deepseek-benchmark/cc-deepseek-benchmark/.venv/lib/python3.13/site-packages/harbor/trial/trial.py"", line 379, in _execute_agent raise AgentTimeoutError( f""Agent execution timed out after {self._agent_timeout_sec} seconds"" ) from e harbor.trial.trial.AgentTimeoutError: Agent execution ..."	Inspect agent transcript and runtime logs for stalled command or provider wait.	runtime_band=long_exception_over_1200s; matched_rule=\bAgentTimeoutError\b; secondary_rule=\bloop(?:ing)?\b
phase3-full-20	router-anthropic-sonnet	router-anthropic-sonnet/2026-06-27__01-30-11	terminal-bench-2.0:custom-memory-heap-crash	11	4510bdd1-6576-4837-ba14-7adc08600271	216e0bdf-7a61-4eaf-8a35-bb15fe63ff28	http://127.0.0.1:3000/artifacts/216e0bdf-7a61-4eaf-8a35-bb15fe63ff28	exception_info	false	0	1397.117233	long_exception_over_1200s	nonzero_agent_exit	model_loop_or_stall	high	false	NonZeroAgentExitCodeError	\bNonZeroAgentExitCodeError\b	exception	216e0bdf-7a61-4eaf-8a35-bb15fe63ff28	0	high confidence from direct signal `NonZeroAgentExitCodeError` in exception artifact	agent_transcript,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	"r/_work/cc-deepseek-benchmark/cc-deepseek-benchmark/.venv/lib/python3.13/site-packages/harbor/agents/installed/base.py"", line 329, in _exec raise NonZeroAgentExitCodeError( ...<3 lines>... ) harbor.agents.installed.base.NonZeroAgentExitCodeError: Command failed (exit 1): export PATH=""$HOME/.local..."	Inspect trial log and result artifact for the failing command and exit code.	runtime_band=long_exception_over_1200s; matched_rule=\bNonZeroAgentExitCodeError\b; secondary_rule=\bloop(?:ing)?\b
phase3-full-20	router-anthropic-sonnet	router-anthropic-sonnet/2026-06-27__01-30-11	terminal-bench-2.0:fix-code-vulnerability	14	cb4c8c9a-16ab-44a6-bd63-801534e39ee4	91183995-39b0-4e52-8cad-7031d4d9e4c7	http://127.0.0.1:3000/artifacts/91183995-39b0-4e52-8cad-7031d4d9e4c7	exception_info	true	0	50.966959	fast_exception_under_90s	nonzero_agent_exit	model_loop_or_stall	high	false	NonZeroAgentExitCodeError	\bNonZeroAgentExitCodeError\b	exception	91183995-39b0-4e52-8cad-7031d4d9e4c7	0	high confidence from direct signal `NonZeroAgentExitCodeError` in exception artifact	agent_transcript,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	"r/_work/cc-deepseek-benchmark/cc-deepseek-benchmark/.venv/lib/python3.13/site-packages/harbor/agents/installed/base.py"", line 329, in _exec raise NonZeroAgentExitCodeError( ...<3 lines>... ) harbor.agents.installed.base.NonZeroAgentExitCodeError: Command failed (exit 1): export PATH=""$HOME/.local..."	Inspect trial log and result artifact for the failing command and exit code.	runtime_band=fast_exception_under_90s; matched_rule=\bNonZeroAgentExitCodeError\b; secondary_rule=\bloop(?:ing)?\b
phase3-full-20	router-anthropic-sonnet	router-anthropic-sonnet/2026-06-27__01-30-11	terminal-bench-2.0:git-leak-recovery	18	dcbfa760-779e-465b-a552-9b3dab102517	e2d49340-c94a-4097-9cc8-647007088ab4	http://127.0.0.1:3000/artifacts/e2d49340-c94a-4097-9cc8-647007088ab4	exception_info	true	0	50.329828	fast_exception_under_90s	nonzero_agent_exit	model_loop_or_stall	high	false	NonZeroAgentExitCodeError	\bNonZeroAgentExitCodeError\b	exception	e2d49340-c94a-4097-9cc8-647007088ab4	0	high confidence from direct signal `NonZeroAgentExitCodeError` in exception artifact	agent_transcript,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	"r/_work/cc-deepseek-benchmark/cc-deepseek-benchmark/.venv/lib/python3.13/site-packages/harbor/agents/installed/base.py"", line 329, in _exec raise NonZeroAgentExitCodeError( ...<3 lines>... ) harbor.agents.installed.base.NonZeroAgentExitCodeError: Command failed (exit 1): export PATH=""$HOME/.local..."	Inspect trial log and result artifact for the failing command and exit code.	runtime_band=fast_exception_under_90s; matched_rule=\bNonZeroAgentExitCodeError\b; secondary_rule=\bloop(?:ing)?\b
phase3-full-20	router-anthropic-sonnet	router-anthropic-sonnet/2026-06-27__01-30-11	terminal-bench-2.0:llm-inference-batching-scheduler	21	1183c317-4ff8-4bfb-ba87-9fe7524c0203	2f9915a3-0312-41e2-998d-c2deb976023a	http://127.0.0.1:3000/artifacts/2f9915a3-0312-41e2-998d-c2deb976023a	exception_info	true	0	1842.422831	long_exception_over_1200s	agent_timeout	model_loop_or_stall	high	false	AgentTimeoutError	\bAgentTimeoutError\b	exception	2f9915a3-0312-41e2-998d-c2deb976023a	0	high confidence from direct signal `AgentTimeoutError` in exception artifact	agent_transcript,exception,log,result,verifier_ctrf,verifier_reward,verifier_stdout	"er/_work/cc-deepseek-benchmark/cc-deepseek-benchmark/.venv/lib/python3.13/site-packages/harbor/trial/trial.py"", line 379, in _execute_agent raise AgentTimeoutError( f""Agent execution timed out after {self._agent_timeout_sec} seconds"" ) from e harbor.trial.trial.AgentTimeoutError: Agent execution ..."	Inspect agent transcript and runtime logs for stalled command or provider wait.	runtime_band=long_exception_over_1200s; trajectory_fetch=r2_request_timeout; matched_rule=\bAgentTimeoutError\b; secondary_rule=\bloop(?:ing)?\b
phase3-full-20	router-anthropic-sonnet	router-anthropic-sonnet/2026-06-27__01-30-11	terminal-bench-2.0:model-extraction-relu-logits	22	10998537-5bc0-4749-9299-48d16ef26f88	912957da-1c0d-4a94-ad9f-0b1ba2c5c46f	http://127.0.0.1:3000/artifacts/912957da-1c0d-4a94-ad9f-0b1ba2c5c46f	exception_info	true	0	46.554822	fast_exception_under_90s	nonzero_agent_exit	model_loop_or_stall	high	false	NonZeroAgentExitCodeError	\bNonZeroAgentExitCodeError\b	exception	912957da-1c0d-4a94-ad9f-0b1ba2c5c46f	0	high confidence from direct signal `NonZeroAgentExitCodeError` in exception artifact	agent_transcript,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	"r/_work/cc-deepseek-benchmark/cc-deepseek-benchmark/.venv/lib/python3.13/site-packages/harbor/agents/installed/base.py"", line 329, in _exec raise NonZeroAgentExitCodeError( ...<3 lines>... ) harbor.agents.installed.base.NonZeroAgentExitCodeError: Command failed (exit 1): export PATH=""$HOME/.local..."	Inspect trial log and result artifact for the failing command and exit code.	runtime_band=fast_exception_under_90s; matched_rule=\bNonZeroAgentExitCodeError\b; secondary_rule=\bloop(?:ing)?\b
phase3-full-20	router-anthropic-sonnet	router-anthropic-sonnet/2026-06-27__01-30-11	terminal-bench-2.0:model-extraction-relu-logits	23	4f35a1b9-b99b-43a2-a02a-7acfb4b8698e	51a55e9e-c978-411f-b391-350ed3ef2712	http://127.0.0.1:3000/artifacts/51a55e9e-c978-411f-b391-350ed3ef2712	exception_info	true	0	945.050534	mid_exception_90_to_1200s	agent_timeout	model_loop_or_stall	high	false	AgentTimeoutError	\bAgentTimeoutError\b	exception	51a55e9e-c978-411f-b391-350ed3ef2712	0	high confidence from direct signal `AgentTimeoutError` in exception artifact	agent_transcript,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	"er/_work/cc-deepseek-benchmark/cc-deepseek-benchmark/.venv/lib/python3.13/site-packages/harbor/trial/trial.py"", line 379, in _execute_agent raise AgentTimeoutError( f""Agent execution timed out after {self._agent_timeout_sec} seconds"" ) from e harbor.trial.trial.AgentTimeoutError: Agent execution ..."	Inspect agent transcript and runtime logs for stalled command or provider wait.	runtime_band=mid_exception_90_to_1200s; matched_rule=\bAgentTimeoutError\b; secondary_rule=\bloop(?:ing)?\b
